model_id,model_type,params_class,num_layers,num_heads,num_kv_heads,kv_groups,head_dim,seq_len,num_samples,arm,ppl,delta_vs_fp16,delta_vs_basequant_int3,delta_vs_turboquant_int3,k_reads,v_reads,collapse,runtime_s,status,notes
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llama,TinyLlama-1.1B-Chat-v1.0,22,32,4,8,64,512,4,fp16,9.8423,0.0,-3.3527,-1.8331,0,0,no,18.7,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llama,TinyLlama-1.1B-Chat-v1.0,22,32,4,8,64,512,4,base_int3,13.195,3.3527,0.0,1.5196,0,0,no,54.1,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llama,TinyLlama-1.1B-Chat-v1.0,22,32,4,8,64,512,4,carekv_SK2SV4,11.3229,1.4806,-1.8721,-0.3525,2500191,3266977,no,108.7,real,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llama,TinyLlama-1.1B-Chat-v1.0,22,32,4,8,64,512,4,turbo_int3,11.6754,1.8331,-1.5196,0.0,0,0,no,17.3,real,
01-ai/Yi-6B,llama,Yi-6B,32,32,4,8,128,512,4,fp16,7.9516,0.0,-0.7438,-0.3039,0,0,no,27.0,real,
01-ai/Yi-6B,llama,Yi-6B,32,32,4,8,128,512,4,base_int3,8.6954,0.7438,0.0,0.4399,0,0,no,113.0,real,
01-ai/Yi-6B,llama,Yi-6B,32,32,4,8,128,512,4,carekv_SK2SV4,8.4272,0.4756,-0.2682,0.1717,3652065,4736543,no,172.6,real,
01-ai/Yi-6B,llama,Yi-6B,32,32,4,8,128,512,4,turbo_int3,8.2555,0.3039,-0.4399,0.0,0,0,no,26.5,real,
mistralai/Mistral-7B-v0.3,mistral,Mistral-7B-v0.3,32,32,8,4,128,512,4,fp16,6.7854,0.0,-0.5118,-0.7031,0,0,no,29.9,real,
mistralai/Mistral-7B-v0.3,mistral,Mistral-7B-v0.3,32,32,8,4,128,512,4,base_int3,7.2972,0.5118,0.0,-0.1913,0,0,no,193.5,real,
mistralai/Mistral-7B-v0.3,mistral,Mistral-7B-v0.3,32,32,8,4,128,512,4,carekv_SK2SV4,7.124,0.3386,-0.1732,-0.3645,3662275,4726333,no,331.9,real,
mistralai/Mistral-7B-v0.3,mistral,Mistral-7B-v0.3,32,32,8,4,128,512,4,turbo_int3,7.4885,0.7031,0.1913,0.0,0,0,no,32.8,real,
upstage/SOLAR-10.7B-v1.0,llama,SOLAR-10.7B-v1.0,48,32,8,4,128,512,4,fp16,5.6968,0.0,-0.4671,-0.3255,0,0,no,45.0,real,
upstage/SOLAR-10.7B-v1.0,llama,SOLAR-10.7B-v1.0,48,32,8,4,128,512,4,base_int3,6.1639,0.4671,0.0,0.1416,0,0,no,303.9,real,
upstage/SOLAR-10.7B-v1.0,llama,SOLAR-10.7B-v1.0,48,32,8,4,128,512,4,carekv_SK2SV4,5.9853,0.2885,-0.1786,-0.037,5669345,6913567,no,436.1,real,
upstage/SOLAR-10.7B-v1.0,llama,SOLAR-10.7B-v1.0,48,32,8,4,128,512,4,turbo_int3,6.0223,0.3255,-0.1416,0.0,0,0,no,16.5,real,
