layer,gini,norm_entropy,top1pct_mass,count
0,0.49139,0.93001,0.10031,2
1,0.78449,0.38721,0.71015,2
2,0.85658,0.35249,0.79283,2
3,0.86048,0.34545,0.80393,2
4,0.82879,0.38702,0.76152,2
5,0.82239,0.42551,0.72679,2
6,0.78766,0.47423,0.67768,2
7,0.71726,0.58693,0.5638,2
8,0.70115,0.59416,0.55452,2
9,0.72985,0.59981,0.54111,2
10,0.65687,0.66782,0.46606,2
11,0.66135,0.65559,0.48156,2
12,0.66736,0.66157,0.47178,2
13,0.61199,0.72971,0.39055,2
14,0.61926,0.68944,0.44091,2
15,0.68446,0.64363,0.48604,2
16,0.65991,0.65709,0.46847,2
17,0.62305,0.66381,0.46035,2
18,0.68171,0.60867,0.52336,2
19,0.73009,0.55251,0.57703,2
20,0.76562,0.48625,0.64423,2
21,0.80394,0.41055,0.71642,2
22,0.84798,0.34931,0.77438,2
23,0.82363,0.4009,0.73114,2
24,0.85371,0.34781,0.77419,2
25,0.86093,0.33098,0.78955,2
26,0.82271,0.38087,0.7449,2
27,0.833,0.36396,0.7683,2
28,0.75,0.49857,0.63874,2
29,0.75462,0.48594,0.64401,2
30,0.71002,0.53669,0.59049,2
31,0.5933,0.69773,0.42779,2
