model,seq_len,base_GFLOP,corr_GFLOP,flop_overhead_pct,base_KB,corr_KB_shared,corr_KB_applied,bw_overhead_shared_pct,bw_overhead_applied_pct,base_AI,corr_AI,base_bound
TinyLlama-1.1B,128,0.0231,0.0006,2.734,572.0,66.69,88.0,11.659,15.385,39.4,9.2,BW
TinyLlama-1.1B,512,0.0923,0.0006,0.684,2288.0,66.69,88.0,2.915,3.846,39.4,9.2,BW
TinyLlama-1.1B,1024,0.1845,0.0006,0.342,4576.0,66.69,88.0,1.457,1.923,39.4,9.2,BW
TinyLlama-1.1B,2048,0.3691,0.0006,0.171,9152.0,66.69,88.0,0.729,0.962,39.4,9.2,BW
TinyLlama-1.1B,4096,0.7382,0.0006,0.085,18304.0,66.69,88.0,0.364,0.481,39.4,9.2,BW
TinyLlama-1.1B,8192,1.4764,0.0006,0.043,36608.0,66.69,88.0,0.182,0.24,39.4,9.2,BW
Mistral-7B (GQA),128,0.0671,0.0014,2.148,3328.0,258.0,256.0,7.752,7.692,19.7,5.5,BW
Mistral-7B (GQA),512,0.2684,0.0014,0.537,13312.0,258.0,256.0,1.938,1.923,19.7,5.5,BW
Mistral-7B (GQA),1024,0.5369,0.0014,0.269,26624.0,258.0,256.0,0.969,0.962,19.7,5.5,BW
Mistral-7B (GQA),2048,1.0737,0.0014,0.134,53248.0,258.0,256.0,0.485,0.481,19.7,5.5,BW
Mistral-7B (GQA),4096,2.1475,0.0014,0.067,106496.0,258.0,256.0,0.242,0.24,19.7,5.5,BW
Mistral-7B (GQA),8192,4.295,0.0014,0.034,212992.0,258.0,256.0,0.121,0.12,19.7,5.5,BW
DeepSeek-7B (MHA),128,0.0629,0.0014,2.148,12480.0,967.5,240.0,7.752,1.923,4.9,1.4,BW
DeepSeek-7B (MHA),512,0.2517,0.0014,0.537,49920.0,967.5,240.0,1.938,0.481,4.9,1.4,BW
DeepSeek-7B (MHA),1024,0.5033,0.0014,0.269,99840.0,967.5,240.0,0.969,0.24,4.9,1.4,BW
DeepSeek-7B (MHA),2048,1.0066,0.0014,0.134,199680.0,967.5,240.0,0.485,0.12,4.9,1.4,BW
DeepSeek-7B (MHA),4096,2.0133,0.0014,0.067,399360.0,967.5,240.0,0.242,0.06,4.9,1.4,BW
DeepSeek-7B (MHA),8192,4.0265,0.0014,0.034,798720.0,967.5,240.0,0.121,0.03,4.9,1.4,BW
